accuracy_globale,accuracy_minoritaire,macro_f1_arith,weighted_f1,fsg_macro,fsg_weighted,gmean_strict,gmean_smoothed,macro_auc_roc,weighted_auc_roc,auc_pr_macro,accuracy_globale_rank,accuracy_minoritaire_rank,macro_f1_arith_rank,weighted_f1_rank,fsg_macro_rank,fsg_weighted_rank,gmean_strict_rank,gmean_smoothed_rank,macro_auc_roc_rank,weighted_auc_roc_rank,auc_pr_macro_rank,rank_imbalanced,rank_global_cat,config_key,var_MSE,var_MAE,var_MAPE,var_SMAPE,var_R2,var_JS,var_KL,var_MMD,score_continuous,score_categorical,global_rank_score,Rang_Final,config,rank_moyen_global
0.9318125,0.785012285012285,0.7744493914148851,0.9274314705024744,0.3509249538497533,0.8912950151177346,0.0,0.5144718568341234,0.8872011453796362,0.9220958278644612,0.8099141030329176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,checkpoints_pred16_hist32_vae_nl3_nh8_f16_bs64_cce0.5_dit_hd320_d7_nh8,88.09404290737673,4.042468311454568,6.094638783471167,5.732513946466324,0.8062151578140923,0.1342918661206019,0.145655922919492,0.00946074956364093,3.747619047619048,1.0,2.373809523809524,1,checkpoints_pred16_hist32_VAE_nl3_nh8_f16_bs64_cce0.5_DIT_hd320_d7_nh8,1.0
0.9091875,0.6938574938574938,0.6710159877233172,0.90224906101753,0.2474946210156317,0.7981999587285719,0.0,0.4113559259509265,0.8351650371063003,0.8967192198079053,0.6986608873079733,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.8,2.25,checkpoints_pred16_hist32_vae_nl4_nh8_f16_bs128_cce0.5_dit_hd320_d7_nh8,83.53800925791562,4.5016142640113825,6.7452368969305185,6.400445194806069,0.8159262723561496,0.1326946942322312,0.11456966904106293,0.005428906633580629,4.742857142857143,2.525,3.633928571428571,2,checkpoints_pred16_hist32_VAE_nl4_nh8_f16_bs128_cce0.5_DIT_hd320_d7_nh8,2.125
0.9063125,0.6845208845208846,0.681783725536796,0.8975241998197646,0.3040877813033649,0.8582647911174754,0.0,0.4279761415417873,0.8361041574407523,0.8853869374249003,0.7143626167566748,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.2,2.75,checkpoints_pred16_hist32_vae_nl2_nh8_f16_bs128_cce0.5_dit_hd320_d7_nh8,90.3033169172292,4.561414049710546,6.874737174807241,6.552389536882849,0.8028267353183794,0.13696057574721499,0.13243189634554112,0.006591647599906329,5.442857142857143,2.475,3.9589285714285714,3,checkpoints_pred16_hist32_VAE_nl2_nh8_f16_bs128_cce0.5_DIT_hd320_d7_nh8,2.875
0.7933125,0.2729729729729729,0.2159278781043421,0.7543463736760954,0.0017086014565483,0.2989478288439669,0.0,0.0209705699928206,0.6072590838391172,0.7474996618249142,0.2614130553153243,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,checkpoints_pred16_hist32_vae_nl3_nh8_f16_bs64_cce0.5_dit_hd160_d9_nh8,100.04175543828748,5.081898154931409,7.633494938267164,7.1692358858863034,0.785572917377695,0.13795727658141532,0.18300294883521692,0.005817919971097871,6.795238095238095,4.0,5.397619047619047,4,checkpoints_pred16_hist32_VAE_nl3_nh8_f16_bs64_cce0.5_DIT_hd160_d9_nh8,4.0
0.77625,0.1911547911547911,0.179675309880972,0.7298799393408215,0.0007019302276375,0.2515735984657998,0.0,0.0146416704526146,0.57939827573889,0.6974511970035356,0.1922717657528415,6.0,6.0,5.0,6.0,6.0,5.0,1.0,5.0,6.0,6.0,6.0,5.6,5.75,checkpoints_pred16_hist32_vae_nl3_nh4_f16_bs64_cce0.5_dit_hd160_d7_nh4,109.6873081787953,5.635352856670107,8.080877385940308,7.874714576771838,0.768320938586416,0.1444313052029807,0.16409883982374932,0.007763231344391043,8.58095238095238,5.675,7.12797619047619,5,checkpoints_pred16_hist32_VAE_nl3_nh4_f16_bs64_cce0.5_DIT_hd160_d7_nh4,5.375
0.77725,0.2127764127764127,0.1635742804839368,0.7329191329199426,0.0003467031838759,0.2195406877198565,0.0,0.0110319748705153,0.5833705590625841,0.722122341396392,0.1951569941165492,5.0,5.0,6.0,5.0,7.0,7.0,1.0,7.0,5.0,5.0,5.0,6.0,5.5,checkpoints_pred16_hist32_vae_nl3_nh8_f16_bs64_cce0.5_dit_hd160_d7_nh8,104.28725470143898,5.600215918864523,8.222918614747583,7.924668217521129,0.7715804371267787,0.1532999173048531,0.18174552232976637,0.012583624316362342,9.66190476190476,5.75,7.705952380952381,6,checkpoints_pred16_hist32_VAE_nl3_nh8_f16_bs64_cce0.5_DIT_hd160_d7_nh8,5.75
0.757375,0.1307125307125307,0.1254873560061724,0.7102412384611798,0.0007081093603185,0.2326143567483398,0.0,0.0132206696323925,0.5588411603132146,0.6905594222122635,0.1419304486408021,7.0,7.0,7.0,7.0,5.0,6.0,1.0,6.0,7.0,7.0,7.0,6.4,6.75,checkpoints_pred16_hist32_vae_nl3_nh8_f16_bs64_cce0.5_dit_hd160_d5_nh8,104.6753000407514,5.713826183114733,8.270704564911032,8.13469274533974,0.7726527471701028,0.14526384563956965,0.14159685797442545,0.006724840084743641,9.561904761904762,6.575,8.068452380952381,7,checkpoints_pred16_hist32_VAE_nl3_nh8_f16_bs64_cce0.5_DIT_hd160_d5_nh8,6.875
0.7479375,0.0823095823095823,0.090908509396837,0.6808167299029816,0.0002135134355406,0.1655890998717743,0.0,0.0072669520840971,0.5377427441980472,0.6175409699445655,0.1133164067114692,8.0,9.0,9.0,9.0,8.0,10.0,1.0,9.0,9.0,13.0,10.0,9.0,10.0,checkpoints_pred16_hist32_vae_nl2_nh8_f16_bs128_cce0.5_dit_hd160_d9_nh8,104.89447222449537,5.732537637957504,8.850316985628728,8.16701145503522,0.7707266500464439,0.13546740886014727,0.13061027249348742,0.007906132277759515,9.947619047619048,9.5,9.723809523809525,9,checkpoints_pred16_hist32_VAE_nl2_nh8_f16_bs128_cce0.5_DIT_hd160_d9_nh8,9.5
0.74,0.0968058968058968,0.0990621595399222,0.6903488491658718,0.0001858212060251,0.1738633278298567,0.0,0.0074923080551881,0.5397494862154883,0.6505536760960781,0.1360205966373781,10.0,8.0,8.0,8.0,9.0,8.0,1.0,8.0,8.0,8.0,8.0,8.2,8.5,checkpoints_pred16_hist32_vae_nl4_nh8_f16_bs128_cce0.5_dit_hd160_d9_nh8,121.09928528246125,6.350282553681305,9.0068841125001,8.780997221045585,0.7454245193912775,0.1494147483688142,0.18177422681270988,0.006515996476696285,12.185714285714283,8.35,10.267857142857142,11,checkpoints_pred16_hist32_VAE_nl4_nh8_f16_bs128_cce0.5_DIT_hd160_d9_nh8,9.75
0.7273125,0.0638820638820638,0.0678617734724031,0.6739118483266021,0.0001832224239319,0.1715039495112812,0.0,0.0063854397696032,0.527585219529753,0.6323022057980625,0.0939883851650577,16.0,11.0,11.0,12.0,10.0,9.0,1.0,10.0,11.0,11.0,12.0,10.8,12.0,checkpoints_pred16_hist32_vae_nl2_nh8_f16_bs128_cce0.5_dit_hd160_d7_nh8,103.66157483485549,5.479479085675308,8.302135936744483,7.7497590039066155,0.7810274132538627,0.1399800588686271,0.14037298191565714,0.0073199722077575,7.485714285714286,11.4,9.442857142857145,8,checkpoints_pred16_hist32_VAE_nl2_nh8_f16_bs128_cce0.5_DIT_hd160_d7_nh8,10.0
